name,potential,performance,trendPotential,trendPerformance,manager
Alice Wonderland,112.25,121.55,5,10,Sarah Miller
Bob The Builder,114.12,90.58,20,5,Sarah Miller
Charlie Brown,126.62,93.56,15,5,John Smith
Diana Prince,103.86,99.35,-5,10,John Smith
Edward Scissorhands,73.26,73.79,0,-10,Jane Garcia
Fiona Apple,75.13,100.28,8,2,Sarah Miller
George Jetson,80.16,120.06,12,8,John Smith
Harley Quinn,105.16,110.54,-10,5,Jane Garcia
Indiana Jones,122.7,104.01,5,-5,Sarah Miller
Jack Sparrow,81.28,85.54,-5,10,Jane Garcia
